ICAO Code,IATA,Airport Name,City/Town,Country,Latitude Decimal Degrees,Longitude Decimal Degrees
AYGA,GKA,GOROKA,GOROKA,PAPUA NEW GUINEA,-6.082,145.392
AYMD,MAG,MADANG,MADANG,PAPUA NEW GUINEA,-5.207,145.789
AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,-5.826,144.296
AYNZ,LAE,NADZAB,NADZAB,PAPUA NEW GUINEA,-6.57,146.726
AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,-9.443,147.22
AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,PAPUA NEW GUINEA,-3.584,143.669
BGBW,UAK,NARSARSUAQ,NARSSARSSUAQ,GREENLAND,61.161,-45.427
BGCO,N/A,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,GREENLAND,70.739,-22.646
BGGH,GOH,NUUK,GODTHAAB,GREENLAND,64.191,-51.678
BGJN,JAV,JACOBSHAVN,JAKOBSHAVN,GREENLAND,69.233,-51.067
BGKK,KUS,KULUSUK,KULUSUK,GREENLAND,65.583,-37.15
BGSF,SFJ,KANGERLUSSUAQ SONDRE STROMFJORD,SONDRESTROM,GREENLAND,67.017,-50.689
BGTL,THU,THULE AIR BASE,THULE,GREENLAND,76.531,-68.703
BIAR,AEY,AKUREYRI,AKUREYRI,ICELAND,65.66,-18.072
BIEG,EGS,EGILSSTADIR,EGILSSTADIR,ICELAND,65.283,-14.401
BIHN,HFN,HORNAFJORDUR,HOFN,ICELAND,64.296,-15.227
BIHU,HZK,HUSAVIK,HUSAVIK,ICELAND,65.952,-17.426
BIIS,IFJ,ISAFJORDUR,ISAFJORDUR,ICELAND,66.058,-23.135
BIKF,KEF,KEFLAVIK NAS,KEFLAVIK,ICELAND,63.985,-22.606
BIKP,OPA,KOPASKER,KOPASKER,ICELAND,66.314,-16.461
BIPA,PFJ,PATREKSFJORDUR,PATREKSFJORDUR,ICELAND,65.556,-23.965
BIRK,RKV,REYKJAVIK,REYKJAVIK,ICELAND,64.13,-21.941
BISI,SIJ,SIGLUFJORDHUR,SIGLUFJORDUR,ICELAND,66.133,-18.917
BIVM,VEY,VESTMANNAEYJAR,VESTMANNAEYJAR,ICELAND,63.424,-20.279
CYAM,YAM,SAULT STE MARIE,SAULT SAINTE MARIE,CANADA,46.485,-84.509
CYAV,YAV,WINNIPEG ST ANDREWS,WINNIPEG,CANADA,50.056,-97.032
CYAW,YAW,SHEARWATER,HALIFAX,CANADA,44.64,-63.499
CYAY,YAY,ST ANTHONY,ST. ANTHONY,CANADA,51.392,-56.084
CYAZ,YAZ,TOFINO,TOFINO,CANADA,49.082,-125.772
CYBB,YBB,KUGAARUK,PELLY BAY,CANADA,68.534,-89.808
CYBC,YBC,BAIE COMEAU,BAIE COMEAU,CANADA,49.132,-68.207
CYBG,YBG,BAGOTVILLE,BAGOTVILLE,CANADA,48.331,-70.996
CYBK,YBK,BAKER LAKE,BAKER LAKE,CANADA,64.299,-96.078
CYBL,YBL,CAMPBELL RIVER,CAMPBELL RIVER,CANADA,49.951,-125.271
CYBR,YBR,BRANDON MUNI,BRANDON,CANADA,49.91,-99.952
CYCB,YCB,CAMBRIDGE BAY,CAMBRIDGE BAY,CANADA,69.108,-105.138
CYCD,YCD,NANAIMO,NANAIMO,CANADA,49.052,-123.87
CYCG,YCG,CASTLEGAR,CASTLEGAR,CANADA,49.296,-117.632
CYCH,YCH,MIRAMICHI,CHATHAM,CANADA,47.008,-65.449
CYCL,YCL,CHARLO,CHARLO,CANADA,47.991,-66.331
CYCO,YCO,KUGLUKTUK,COPPERMINE,CANADA,67.817,-115.144
CYCT,YCT,CORONATION,CORONATION,CANADA,52.075,-111.445
CYCW,YCW,CHILLIWACK,CHILLIWACK,CANADA,49.153,-121.939
CYCY,YCY,CLYDE RIVER,CLYDE RIVER,CANADA,70.486,-68.517
CYCZ,YZS,FAIRMONT HOT SPRINGS,CORAL HARBOUR,CANADA,50.332,-115.874
CYDA,YDA,DAWSON,DAWSON,CANADA,64.043,-139.128
CYDB,YDB,BURWASH,BURWASH,CANADA,61.371,-139.041
CYDC,YDC,PRINCETON,PRINCETON,CANADA,49.468,-120.512
CYDF,YDF,DEER LAKE,DEER LAKE,CANADA,49.211,-57.391
CYDL,YDL,DEASE LAKE,DEASE LAKE,CANADA,58.422,-130.032
CYDN,YDN,DAUPHIN BARKER,DAUPHIN,CANADA,51.101,-100.052
CYDQ,YDQ,DAWSON CREEK,DAWSON CREEK,CANADA,55.742,-120.182
CYED,YED,EDMONTON NAMAO,EDMONTON,CANADA,53.667,-113.467
CYEG,YEG,EDMONTON INTERNATIONAL,EDMONTON,CANADA,53.31,-113.58
CYEK,YEK,ARVIAT,ESKIMO POINT,CANADA,61.094,-94.071
CYEN,YEN,ESTEVAN,ESTEVAN,CANADA,49.21,-102.966
CYET,YET,EDSON,EDSON,CANADA,53.579,-116.465
CYEU,YEU,EUREKA,EUREKA,CANADA,79.995,-85.813
CYEV,YEV,INUVIK MIKE ZUBKO,INUVIK,CANADA,68.304,-133.483
CYFB,YFB,IQALUIT,IQALUIT,CANADA,63.756,-68.556
CYFC,YFC,FREDERICTON,FREDERICTON,CANADA,45.869,-66.532
CYFE,N/A,FORESTVILLE,FORESTVILLE,CANADA,48.746,-69.097
CYFO,YFO,FLIN FLON,FLIN FLON,CANADA,54.678,-101.682
CYFR,YFR,FORT RESOLUTION,FORT RESOLUTION,CANADA,61.181,-113.69
CYFS,YFS,FORT SIMPSON,FORT SIMPSON,CANADA,61.76,-121.237
CYGK,YGK,KINGSTON,KINGSTON,CANADA,44.225,-76.597
CYGL,YGL,LA GRANDE RIVIERE,LA GRANDE RIVIERE,CANADA,53.625,-77.704
CYGP,YGP,GASPE,GASPE,CANADA,48.775,-64.479
CYGQ,YGQ,GERALDTON GREENSTONE REGIONAL,GERALDTON,CANADA,49.778,-86.939
CYGR,YGR,ILES DE LA MADELEINE,ILES DE LA MADELEINE,CANADA,47.425,-61.778
CYGW,YGW,KUUJJUARAPIK,KUUJJUARARAPIK,CANADA,55.283,-77.767
CYGX,YGX,GILLAM,GILLAM,CANADA,56.35,-94.7
CYHB,YHB,HUDSON BAY,HUDSON BAY,CANADA,52.817,-102.311
CYHD,YHD,DRYDEN RGNL,DRYDEN,CANADA,49.832,-92.744
CYHI,YHI,HOLMAN,HOLMAN ISLAND,CANADA,70.763,-117.806
CYHK,YHK,GJOA HAVEN,GJOA HAVEN,CANADA,68.636,-95.85
CYHM,YHM,HAMILTON,HAMILTON,CANADA,43.173,-79.935
CYHU,YHU,ST HUBERT,MONTREAL,CANADA,45.517,-73.417
CYHY,YHY,HAY RIVER,HAY RIVER,CANADA,60.84,-115.783
CYHZ,YHZ,HALIFAX INTERNATIONAL,HALIFAX,CANADA,44.881,-63.509
CYIB,YIB,ATIKOKAN MUNI,ATIKOKAN,CANADA,48.774,-91.639
CYIO,YIO,POND INLET,POND INLET,CANADA,72.683,-77.967
CYJN,YJN,ST JEAN,ST. JEAN,CANADA,45.294,-73.281
CYJT,YJT,STEPHENVILLE,STEPHENVILLE,CANADA,48.544,-58.55
CYKA,YKA,KAMLOOPS,KAMLOOPS,CANADA,50.702,-120.442
CYKF,YKF,WATERLOO RGNL,WATERLOO,CANADA,43.459,-80.384
CYKL,YKL,SCHEFFERVILLE,SCHEFFERVILLE,CANADA,54.805,-66.805
CYKY,YKY,KINDERSLEY,KINDERSLEY,CANADA,51.517,-109.181
CYKZ,YKZ,BUTTONVILLE MUNI,TORONTO,CANADA,43.862,-79.37
CYLD,YLD,CHAPLEAU,CHAPLEAU,CANADA,47.82,-83.346
CYLJ,YLJ,MEADOW LAKE,MEADOW LAKE,CANADA,54.125,-108.523
CYLL,YLL,LLOYDMINSTER,LLOYDMINSTER,CANADA,53.309,-110.072
CYLT,YLT,ALERT,ALERT,CANADA,82.518,-62.281
CYLW,YLW,KELOWNA,KELOWNA,CANADA,49.956,-119.378
CYMA,YMA,MAYO,MAYO,CANADA,63.617,-135.867
CYMJ,YMJ,MOOSE JAW,MOOSE JAW,CANADA,50.33,-105.559
CYMM,YMM,FORT MCMURRAY,FORT MCMURRAY,CANADA,56.653,-111.222
CYMO,YMO,MOOSONEE,MOOSONEE,CANADA,51.291,-80.608
CYMW,YMW,MANIWAKI,MANIWAKI,CANADA,46.274,-75.99
CYMX,YMX,MONTREAL INTERNATIONAL MIRABEL,MONTREAL,CANADA,45.68,-74.039
CYNA,YNA,NATASHQUAN,NATASHQUAN,CANADA,50.19,-61.789
CYND,YND,GATINEAU,GATINEAU,CANADA,45.521,-75.564
CYNM,YNM,MATAGAMI,MATAGAMI,CANADA,49.762,-77.803
CYOC,YOC,OLD CROW,OLD CROW,CANADA,67.571,-139.839
CYOD,YOD,COLD LAKE,COLD LAKE,CANADA,54.405,-110.279
CYOJ,YOJ,HIGH LEVEL,HIGH LEVEL,CANADA,58.621,-117.165
CYOW,YOW,OTTAWA MACDONALD CARTIER INTERNATIONAL,OTTAWA,CANADA,45.323,-75.669
CYPA,YPA,PRINCE ALBERT GLASS FIELD,PRINCE ALBERT,CANADA,53.214,-105.673
CYPE,YPE,PEACE RIVER,PEACE RIVER,CANADA,56.227,-117.447
CYPG,YPG,SOUTHPORT,PORTAGE-LA-PRAIRIE,CANADA,49.903,-98.275
CYPK,N/A,PITT MEADOWS,PITT MEADOWS,CANADA,49.216,-122.71
CYPL,YPL,PICKLE LAKE,PICKLE LAKE,CANADA,51.446,-90.214
CYPN,YPN,PORT MENIER,PORT MENIER,CANADA,49.836,-64.289
CYPQ,YPQ,PETERBOROUGH,PETERBOROUGH,CANADA,44.23,-78.363
CYPR,YPR,PRINCE RUPERT,PRINCE PUPERT,CANADA,54.286,-130.445
CYPY,YPY,FORT CHIPEWYAN,FORT CHIPEWYAN,CANADA,58.767,-111.117
CYQA,YQA,MUSKOKA,MUSKOKA,CANADA,44.975,-79.303
CYQB,YQB,QUEBEC JEAN LESAGE INTERNATIONAL,QUEBEC,CANADA,46.788,-71.398
CYQF,YQF,RED DEER REGIONAL,RED DEER INDUSTRIAL,CANADA,52.179,-113.893
CYQG,YQG,WINDSOR,WINDSOR,CANADA,42.276,-82.956
CYQH,YQH,WATSON LAKE,WATSON LAKE,CANADA,60.118,-128.822
CYQK,YQK,KENORA,KENORA,CANADA,49.788,-94.363
CYQL,YQL,LETHBRIDGE,LETHBRIDGE,CANADA,49.63,-112.8
CYQM,YQM,GREATER MONCTON INTERNATIONAL,MONCTON,CANADA,46.112,-64.679
CYQN,N/A,NAKINA,NAKINA,CANADA,50.183,-86.696
CYQQ,YQQ,COMOX,COMOX,CANADA,49.711,-124.887
CYQR,YQR,REGINA INTERNATIONAL,REGINA,CANADA,50.432,-104.666
CYQT,YQT,THUNDER BAY,THUNDER BAY,CANADA,48.372,-89.324
CYQU,YQU,GRANDE PRAIRIE,GRANDE PRAIRIE,CANADA,55.18,-118.885
CYQV,YQV,YORKTON MUNI,YORKTON,CANADA,51.265,-102.462
CYQW,YQW,NORTH BATTLEFORD,NORTH BATTLEFORD,CANADA,52.769,-108.244
CYQX,YQX,GANDER INTERNATIONAL,GANDER,CANADA,48.937,-54.568
CYQY,YQY,SYDNEY,SYDNEY,CANADA,46.161,-60.048
CYQZ,YQZ,QUESNEL,QUESNEL,CANADA,53.026,-122.51
CYRB,YRB,RESOLUTE BAY,RESOLUTE,CANADA,74.717,-94.969
CYRI,YRI,RIVIERE DU LOUP,RIVIERE DU LOUP,CANADA,47.764,-69.585
CYRJ,YRJ,ROBERVAL,ROBERVAL,CANADA,48.52,-72.266
CYRM,YRM,ROCKY MOUNTAIN HOUSE,ROCKY MOUNTAIN HOUSE,CANADA,52.43,-114.904
CYRT,YRT,RANKIN INLET,RANKIN INLET,CANADA,62.811,-92.116
CYSB,YSB,SUDBURY,SUDBURY,CANADA,46.625,-80.799
CYSC,YSC,SHERBROOKE,SHERBROOKE,CANADA,45.438,-71.691
CYSJ,YSJ,SAINT JOHN,ST. JOHN,CANADA,45.316,-65.89
CYSM,YSM,FORT SMITH,FORT SMITH,CANADA,60.022,-111.96
CYSR,YSR,NANISIVIK,NANISIVIK,CANADA,72.982,-84.614
CYSU,YSU,SUMMERSIDE,SUMMERSIDE,CANADA,46.443,-63.831
CYSY,YSY,SACHS HARBOUR,SACHS HARBOUR,CANADA,71.994,-125.243
CYTE,YTE,CAPE DORSET,CAPE DORSET,CANADA,64.23,-76.527
CYTH,YTH,THOMPSON,THOMPSON,CANADA,55.801,-97.864
CYTR,YTR,TRENTON,TRENTON,CANADA,44.119,-77.528
CYTS,YTS,TIMMINS,TIMMINS,CANADA,48.57,-81.377
CYTZ,YTZ,CITY CENTRE,TORONTO,CANADA,43.627,-79.396
CYUB,YUB,TUKTOYAKTUK,TUKTOYAKTUK,CANADA,69.433,-133.026
CYUL,YUL,MONTREAL INTERNATIONAL DORVAL,MONTREAL,CANADA,45.468,-73.741
CYUT,YUT,REPULSE BAY,REPULSE BAY,CANADA,66.521,-86.225
CYUX,YUX,HALL BEACH,HALL BEACH,CANADA,68.776,-81.244
CYUY,YUY,ROUYN NORANDA,ROUYN,CANADA,48.206,-78.836
CYVC,YVC,LA RONGE,LA RONGE,CANADA,55.151,-105.262
CYVG,YVG,VERMILION,VERMILLION,CANADA,53.356,-110.824
CYVM,YVM,QIKIQTARJUAQ,BROUGHTON ISLAND,CANADA,67.546,-64.031
CYVO,YVO,VAL D OR,VAL D'OR,CANADA,48.053,-77.783
CYVP,YVP,KUUJJUAQ,QUUJJUAQ,CANADA,58.096,-68.427
CYVQ,YVQ,NORMAN WELLS,NORMAN WELLS,CANADA,65.282,-126.8
CYVR,YVR,VANCOUVER INTERNATIONAL,VANCOUVER,CANADA,49.195,-123.182
CYVT,YVT,BUFFALO NARROWS,BUFFALO NARROWS,CANADA,55.842,-108.418
CYVV,YVV,WIARTON,WIARTON,CANADA,44.746,-81.107
CYWA,YWA,PETAWAWA,PETAWAWA,CANADA,45.952,-77.319
CYWG,YWG,WINNIPEG INTERNATIONAL,WINNIPEG,CANADA,49.91,-97.234
CYWK,YWK,WABUSH,WABUSH,CANADA,52.922,-66.864
CYWL,YWL,WILLIAMS LAKE,WILLIAMS LAKE,CANADA,52.183,-122.054
CYWY,YWY,WRIGLEY,WRIGLEY,CANADA,63.209,-123.437
CYXC,YXC,CRANBROOK,CRANBROOK,CANADA,49.61,-115.782
CYXD,YXD,EDMONTON CITY CENTRE,EDMONTON,CANADA,53.573,-113.521
CYXE,YXE,SASKATOON J G DIEFENBAKER INTERNATIONAL,SASKATOON,CANADA,52.171,-106.7
CYXH,YXH,MEDICINE HAT,MEDICINE HAT,CANADA,50.019,-110.721
CYXJ,YXJ,FORT ST JOHN,FORT SAINT JOHN,CANADA,56.238,-120.74
CYXL,YXL,SIOUX LOOKOUT,SIOUX LOOKOUT,CANADA,50.114,-91.904
CYXP,YXP,PANGNIRTUNG,PANGNIRTUNG,CANADA,66.145,-65.714
CYXR,YXR,TIMISKAMING RGNL,EARLTON,CANADA,47.695,-79.849
